线型,里程,起始方位角,起始北坐标,起始东坐标,转弯半径,曲线长
0,744000,0.45479493,4906664.502,501775.647,0,5952.178504
1,749952.1785,0.45479493,4912011.648,504390.3085,11000,370
3,750322.1785,0.471613112,4912344.94,504550.9734,11000,1080.78296
2,751402.9615,0.306087388,4913385.519,504876.8104,11000,370
0,751772.9615,0.45479493,4913694.788,505079.9102,0,2295.264156
1,754068.2256,0.32290557,4915871.484,505808.2703,10000,430
3,754498.2256,0.34440557,4916278.264,505947.6354,10000,1459.52879
2,755957.7544,0.490358449,4917614.212,506533.3311,10000,430
0,756387.7544,0.32290557,4917987.575,506746.6214,0,5111.773001
1,761499.5274,0.511858449,4922444.316,509250.4237,11000,370
3,761869.5274,0.528676631,4922767.902,509429.8356,11000,2122.823179
2,763992.3506,0.268419978,4924800.673,510110.9144,11000,370
0,764362.3506,0.511858449,4925075.674,510358.4441,0,6153.099514
1,770515.4501,0.28523816,4930980.258,512089.8702,11000,370
3,770885.4501,0.302056342,4931334.714,512195.9705,11000,1002.089015
2,771887.5391,0.393155343,4932278.142,512533.3874,11000,370
0,772257.5391,0.28523816,4932616.645,512682.762,0,3742.460882
